Asin,UserName,Rating,Subject,ReviewDate,Review
B0CHXCXKPD,sherri steffens,5.0 out of 5 stars,5.0 out of 5 starsTime piece,"Reviewed in the United States on October 3, 2023",This watch serves a purpose.  I have never wore a watch before- now I get my messages if I’m not by my phone and can contact others through it.  It keeps track of my heartbeat and blood pressure.  Keeps me moving
B0CHXCXKPD,DELTA GAMMA,4.0 out of 5 stars,4.0 out of 5 starsSo far so good,"Reviewed in the United States on September 12, 2023","Bought this watch to replace the one I bought in 2017! It’s smaller, but does have a few more features in the previous one. I love my Apple Watches!!"
B0CHXCXKPD,David J. Earls,3.0 out of 5 stars,"3.0 out of 5 starsSmart watch yes, sleep tracker no","Reviewed in the United States on November 5, 2023",This is a great smartwatch and you can ask Siri anything. Also if you have friends or partners with an Apple Watch the walkie talkie feature is awesome. Now the bad. Even with minimal features battery life is 24 hours at best. You’ll charge daily. Even if you charge this before bed and try to use it as a sleep tracker it is hit and miss. If you want a fitness and sleep tracker the other brand is the way to go. If you’re deep in apple and want a smartwatch that works with everything apple. This is the way to go.
B0CHXCXKPD,The Hunt family of  NYC,5.0 out of 5 stars,5.0 out of 5 starsFirst Apple Watch,"Reviewed in the United States on August 6, 2023",I like my watch . It’s a treat for myself . I’m still figuring it out as nowadays printed instructions have gone the way of the milkman lol . But it’s nice I wish in the advertisement they’d told me I had to buy a charging brick but I went to the store the next day and bought one so no deal breaker there .It’s functioning fine and it’s a great beginner smartwatch if you live on a budget but want to have modern things which are now considered luxury in my world .As a person who’s lives with a disability the crash detection and the steps it counts per day is an added incentive to all who face falls or use a mobilty scooter outside to have that added feeling of protection
B0CHXCXKPD,Buen producto ,4.0 out of 5 stars,4.0 out of 5 starsBuena calidad,"Reviewed in the United States on September 7, 2023",Buena calidad y funcionamiento
B0CHXCXKPD,CEC,5.0 out of 5 stars,5.0 out of 5 starsApple Watch SE,"Reviewed in the United States on September 30, 2023",Ver pleased with this watch. Had a Fitbit for a long time but I do like all the choices on this
B0CHXCXKPD,walter carlson,5.0 out of 5 stars,5.0 out of 5 starsDaughter,"Reviewed in the United States on September 30, 2023",She likes it!
B0CHXCXKPD,Jaime,5.0 out of 5 stars,"5.0 out of 5 starsI'm happy with my purchase, it was a gift for one of my daughters.","Reviewed in the United States on September 2, 2023","I got this for my daughter as both a graduation gift and as a gift for her first job (to keep track of lunch breaks.)  She went from saying she didn't need a watch, to wearing it almost all the time.  She loves the pedometer and fitness trackers, especially sometimes because she walks to work."
B0CHXCXKPD,George C.,5.0 out of 5 stars,5.0 out of 5 starsWonderful IWatch,"Reviewed in the United States on October 2, 2023",Great features
B0CHXCXKPD,Monica BowersMonica Bowers,4.0 out of 5 stars4.0 out of 5 stars,4.0 out of 5 starsApple Watch,"Reviewed in the United States on August 19, 2023",The watch is nice but I received the wrong color.  I order the light sliver one.
B0CHXCXKPD,DPearl,3.0 out of 5 stars,3.0 out of 5 starsMixed feelings,"Reviewed in the United States on July 10, 2023","If you had asked me right after I started using this watch to rate this watch, I'd give it a 5 star hands down.  I made the old switch-aroo from a Galaxy to an iphone, and from a Galaxy watch to an Apple watch.  The positives - more stylish, sleek.  Pretty easy to use, and the amount of data it had, both on the watch and in your app on the phone, continues to amaze me.  Like, my average walking speed; or the average length of each step.  Talk about a ton of data!However, due to questionable data, I feel cheated, and now our marriage is starting to dissolve.  I first noticed my sleep data didn't seem consistent compared to my Halo Rise and Google Nest 2nd gen Hub. And now after three months of using the watch I don't even rely on it for looking at my sleep.  Not when it has me in REM sleep when I was up using the bathroom.  With it now summer I've been riding my bike lately and while it tracks that I'm cycling, like my sleep data, it is nowhere close to accurate.  I went to the beach and back - which is 5 miles each way - and it registered 2.4 miles.  The next time it registered 5.5 miles of the 10 mile roundtrip.  Finally, the battery life is 24 hours at best.A stylish smart watch that is simple to use and rich in features.  An upgrade over the Galaxy watches I've had too.  However, unlike the Galaxy, we have some data inaccuracies that cause me to question how much longer this watch and me will stay together."
B0CHXCXKPD,DG,5.0 out of 5 stars,5.0 out of 5 starsLove this watch,"Reviewed in the United States on August 19, 2023","Has all of the features I wanted and more. Does not have a designated line but can answer calls. I don’t have an issue keeping my phone with me so this is not a problem. Tracks activities very well, holds me accountable for movement. Keeps track of sleep and heart rate as well! Love this purchase."
B0CHXCXKPD,Siera Keller,4.0 out of 5 stars,4.0 out of 5 starsBattery life insufficient,"Reviewed in the United States on June 22, 2023","I was excited to have my first Apple Watch after having an iPhone for many years. The only issue I have is it needs charged every night. Maybe I have setting on that is draining the battery, but for something brand new needing charged every night when it mostly sits on my wrist and tracks my steps seems a bit much to me."
B0CHXCXKPD,B. James,3.0 out of 5 stars,3.0 out of 5 starsVery short battery life of 18 hours..,"Reviewed in the United States on November 1, 2023","Very short battery life of 18 hours. The health features are excellent , but battery life was far from adequate. The deal killer was the claim of compatibility with iPhone SE…not so. This watch requires iso 17."
B0CHXCXKPD,ray ray,4.0 out of 5 stars,4.0 out of 5 starsCool,"Reviewed in the United States on August 18, 2023",Cool
B0CHXCXKPD,Jan Woods,5.0 out of 5 stars,5.0 out of 5 starsPerfect,"Reviewed in the United States on September 25, 2023",Love it
B0CHXCXKPD,Jennifer Beesley,5.0 out of 5 stars,5.0 out of 5 starsI Love this watch!,"Reviewed in the United States on August 6, 2023","I love this watch. I have had a Fitbit versa 2 for the last 2-3 years and it was just ok. It was a lot more difficult to set up and I had to constantly synch it with my iPhone. Because I have an iPhone and not an Android based phone I was pretty limited with the features on the watch, however with the Apple Watch SE, it was very simple to set up and synch with my phone. I receive calls, texts, updates and notifications and so much more."
B0CHXCXKPD,Joy205,5.0 out of 5 stars,5.0 out of 5 starsNurse Joy 🤩,"Reviewed in the United States on September 14, 2023",I love my Apple Watch ⌚️
B0CHXCXKPD,Robert Kennedy,5.0 out of 5 stars,5.0 out of 5 starsGood product,"Reviewed in the United States on September 11, 2023",Just what I needed.
B0CHXCXKPD,Juan Miguel,5.0 out of 5 stars,5.0 out of 5 starsDe maravilla,"Reviewed in the United States on October 14, 2023","The media could not be loaded.                 Me encanta, estoy súper mono"
B0CHXCXKPD,Charlotte Hattabaugh,5.0 out of 5 stars,5.0 out of 5 starsApple Watch,"Reviewed in the United States on August 30, 2023",I love it! I can’t believe I waited so long to get one!
B0CHXCXKPD,Makayla,5.0 out of 5 stars,5.0 out of 5 starsJust buy it,"Reviewed in the United States on July 28, 2023",I've been wanting to buy a watch for years now and I am very glad I finally did.  I don't use sleep tracking and take it off at night to charge it and there is probably still 60% or so battery left at the end of the day.
B0CHXCXKPD,rosie willard,3.0 out of 5 stars,3.0 out of 5 starsCharging brick,"Reviewed in the United States on October 14, 2023",Like the watch! Didn’t like band looks dirty as if it had been used! received charger but no type C brick. Had to purchase one at my cost
B0CHXCXKPD,Sydnie,5.0 out of 5 stars,5.0 out of 5 starsA great purchase!,"Reviewed in the United States on May 22, 2023",I wasn’t sure if I wanted to purchase an Apple Watch at first. But I gave in and purchased one and im really happy I did. Honestly hands down one of the best purchases I made. You can receive and send texts as well as calls on the Watch. You can control your music on your phone from your watch. The alarm on the watch is my all time favorite thing about the watch it actually wakes me up. The workout and the heart rate detection on the watch is amazing. It’s perfect for people that workout or have a job that would allow you to wear an Apple Watch to work.
B0CHXCXKPD,Customer,5.0 out of 5 stars,5.0 out of 5 starsArrived as expected and on time,"Reviewed in the United States on August 30, 2023",Arrived as expected and on time.
B0CHXCXKPD,Chris,2.0 out of 5 stars,2.0 out of 5 starsGreat Until It Wasn’t,"Reviewed in the United States on September 5, 2023","The UI is easily navigable, the speaker in the watch is loud and clear, it perfectly maps exercise, and keeps accurate track of steps, heart rate, and sleep.Unfortunately, the battery, as with all non-laptop Apple products, leaves a lot to be desired. Get a spare charging cable or two to keep in your car and/or bag.Beyond that, my watch failed in under two months. I’d gone for a swim and noticed the touchscreen wasn’t functioning properly afterward. There were a couple small cosmetic scratches on the screen and thought that maybe they were just holding water and preventing the touch function from working.A few hours later, it worked again.Went for another swim later that week and the touchscreen failed again.That time, however, I noticed water drops at an edge of the display. When I pressed on the display, more water noticeably came out. In addition to the screen not working, the two buttons were also not functional.Let it dry out and it all started working again.Because the battery was critically low by that time, I put it on the charger and the screen went blank. Couldn’t turn it on or off and it was no longer connected to my phone.Now, thanks to a manufacturing defect, the only replacement Apple will provide will be a refurbished unit for a product that failed less than 60 days after purchase.And it’s not an immediate replacement either. According to the Apple Store tech, it’ll be up to 10 days before I get it. Counting 4 already.TLDR: The watch looks great and performs well enough. Unfortunately, the build quality AND service turnaround time aren’t nearly as good as they used to be.Update: Received a new-looking unit from AppleCare several days after this review went live. Still unimpressed by the lack of QC. Review score remains unchanged."
B0CHXCXKPD,Kara RayKara Ray,3.0 out of 5 stars3.0 out of 5 stars,3.0 out of 5 starsWatch works well but band looks dirty even brand new,"Reviewed in the United States on October 17, 2023",Apple Watch works as expected. The band though looks dirty even brand new. Wouldn’t buy again
B0CHXCXKPD,Allie R.,5.0 out of 5 stars,"5.0 out of 5 starsGood smart watch, doesn't break the bank","Reviewed in the United States on August 10, 2023",Its an apple watch that doesn't break the bank. Great features for the money. Doesn't have everything the newer ones do but great for tracking steps and receiving messages.
B0CHXCXKPD,Amazon Customer,3.0 out of 5 stars,3.0 out of 5 starsCharger,"Reviewed in the United States on October 15, 2023",Does not come with the charger block. Need c charger block
B0CHXCXKPD,Jen,5.0 out of 5 stars,5.0 out of 5 starsA great buy!,"Reviewed in the United States on August 18, 2023",The watch came and in pristine condition like it was never even tried on. Great purchase!
B0CHXCXKPD,David Krecklow,5.0 out of 5 stars,5.0 out of 5 starsGreat product,"Reviewed in the United States on August 24, 2023",Quich shipping. Discounted price.
B0CHXCXKPD,jovanni gil,5.0 out of 5 stars,5.0 out of 5 stars10/10,"Reviewed in the United States on August 18, 2023",first apple watch and i love it
B0CHXCXKPD,Michaela Bongiovanni,5.0 out of 5 stars,5.0 out of 5 starsBe sure you have a way to charge the watch,"Reviewed in the United States on August 2, 2023",I am using this product to track my activity and health status. Also emergency response should I fall and ca not call for help
B0CHXCXKPD,Amy FigueroaAmy Figueroa,5.0 out of 5 stars5.0 out of 5 stars,"5.0 out of 5 starsMe llego el mismo dia, a unas horas de haberlo comprado","Reviewed in the United States on August 6, 2023","Exelentes condiciones muy bonito, me llego sin carga pero cargo súper rápido ya lo estoy usando"
B0CHXCXKPD,"Rodney Sprader, PhD",3.0 out of 5 stars,3.0 out of 5 starsGreat watch. Poor delivery.,"Reviewed in the United States on August 25, 2023",I like the watch. I lost my last one in a Lake and ordered this one hoping to get it quickly. It showed up 3 days after the expected arrival. The 3 star rating is for poor delivery service. I give the watch 5 stars.
B0CHXCXKPD,CalebsCalebs,5.0 out of 5 stars5.0 out of 5 stars,5.0 out of 5 starsEnough for most people,"Reviewed in the United States on August 14, 2023",Enough for most people's needs. Longer battery life could have made it perfect.
B0CHXCXKPD,Sharon Martinez,5.0 out of 5 stars,5.0 out of 5 starsMeets my expectations,"Reviewed in the United States on August 14, 2023",Love my new watch
B0CHXCXKPD,Amazon Customer,5.0 out of 5 stars,5.0 out of 5 starsLove it!,"Reviewed in the United States on July 15, 2023","I use this for just the basics…..daily exercise tracking such as walks, functional training, cycling or kayaking.  I haven’t tracked my sleep.  Battery life seems fine….definitely no complaints there.  A great purchase."
B0CHXCXKPD,Judy Green,5.0 out of 5 stars,5.0 out of 5 starsAbsolutely love it,"Reviewed in the United States on July 26, 2023",It’s very complicated and does do much. But I love it the more I learn it.
B0CHXCXKPD,Wasan,5.0 out of 5 stars,5.0 out of 5 starsGreat!,"Reviewed in the United States on January 25, 2023","This watch is amazing! It can do so much, With some really cool features such as the mickey or minnie watch face and when you tap them it says the time in there voice! So cute! The only thing pretty much is that its not a usb charger. It come with the charging wire, but you need a specific head for it! Thankfully, Awhile ago i bought an ipad that came with a charging head perfect for the watch charger. If you have a oculus, im pretty sure you could use that head too because my sister has one and the head for it works! All in all, i'd 100% recommend, Just make sure you also purchase the right head with it!"
B0CHXCXKPD,Patricia McElwrath,5.0 out of 5 stars,5.0 out of 5 starsGreat watch! Still learning all about it!,"Reviewed in the United States on July 24, 2023",Bought it for the crash feature. Hope I never need it!
B0CHXCXKPD,Anthony A.,3.0 out of 5 stars,3.0 out of 5 starsThe band is horrible,"Reviewed in the United States on July 16, 2023",I like the watch so far but I have to say this band is really awful. The design is horrible and it’s gotten me so worked up just trying to get it on. Do yourself a favor and get a different band if you’re buying this watch. I really cannot believe someone came up with this design.
B0CHXCXKPD,Amazon Customer,4.0 out of 5 stars,4.0 out of 5 starsGreat But Battery Life Not Very Good,"Reviewed in the United States on February 12, 2023","The Apple Watch is great and the features are very good.  However the battery life is not very good.  I have to recharge it every night.  I thought the battery would last at least a couple of days, but I have to charge it every night so I am unable to have it record my sleep patterns."
B0CHXCXKPD,Andrea,5.0 out of 5 stars,5.0 out of 5 starslove it,"Reviewed in the United States on August 4, 2023",Fast shipping!
B0CHXCXKPD,Richard P,4.0 out of 5 stars,4.0 out of 5 starsGotta Have an iPhone to Use It,"Reviewed in the United States on January 3, 2023","I did not know that one has to have an iPhone to set up the Apple watch.  Not being Apple people here, I was very disappointed to learn that I could not set it up using an android phone.  So I returned it to Amazon with absolutely no problem and got my refund in a couple of days!  Way to go Amazon!!!  So, I bought a FitBit from Amazon and my wife loves it."
B0CHXCXKPD,Mik49275,5.0 out of 5 stars,5.0 out of 5 starsExcellent product,"Reviewed in the United States on July 3, 2023",Love apple products and this watch is on point just like an other Apple product. 20 percent faster than the other comparisons
B0CHXCXKPD,Chrissy,4.0 out of 5 stars,4.0 out of 5 starsJust so you know,"Reviewed in the United States on December 27, 2022","I wish someone would’ve wrote that or they should let you know that you need a different thing that you plug in the wall. You can’t use the regular ones if they were to let me know I could’ve ordered it so I don’t know the answers to the other questions because I can’t charge it yet, but I’ll let you know when I do how it goes but just make sure you buy one of them"
B0CHXCXKPD,Nova Heitman,5.0 out of 5 stars,5.0 out of 5 starsI’m a fan,"Reviewed in the United States on July 19, 2023",Nothing I dislike. I’m very happy with my purchase
B0CHXCXKPD,D. J. Finch,5.0 out of 5 stars,"5.0 out of 5 starsUsed a cheapo electronic watch for years, got this for xmas, love it","Reviewed in the United States on February 7, 2023","Yes I do own an iphone but not a Apple maniac, had a electronic knockoff watch for the past few years and was given this for Xmas, very happy with it, linked to my phone so can dictate text messages when I have my hands full or my phone is somewhere in the houseDidnt get the Cellular version as the phone companies figure its another phone so charge you for another line *^#*@(* but for my needs its perfect, not really sure how many people need the cellular version, as long as you have wifi you dont really need it"
B0CHXCXKPD,faith1,5.0 out of 5 stars,5.0 out of 5 starsLove It!,"Reviewed in the United States on November 16, 2022","This is why I am most favorite purchases in a long time.  I love the Fitbit watch that my husband had  purchased for me several years ago, but it was time for an upgrade.  This watch is a good starter watch I think into the Apple series, especially for those like me or not tech savvy. . It comes with a lot of cool features for working out and a lot of programs that I’m still discovering.  Battery life doesn’t seem as long as my Fitbit however, because of all the cool features that it offers I understand why the charge speed he’s pretty fast.,  on a scale of 1 to 10 I am definitely at 10 with my purchase stay on satisfied."
B0CHXCXKPD,Julie Pothen,3.0 out of 5 stars,3.0 out of 5 starsDisappointed,"Reviewed in the United States on August 9, 2023",Very disappointed with the battery life. It only last 18 hours.
B0CHXCXKPD,Sue Z.,5.0 out of 5 stars,5.0 out of 5 starsReally cool my wife loves it,"Reviewed in the United States on March 23, 2023",Idk why it took this long to finally get one of these . So easy to set up. Looks good with the different band we got here on Amazon the apple bands are just way too much money for what they are. The battery life for my wife is OK it lasts more than a day but we charge it every day around the same time to make sure it doesn’t run out.
B0CHXCXKPD,Mike,5.0 out of 5 stars,5.0 out of 5 starsCool watch,"Reviewed in the United States on June 26, 2023",This was a gift for my wife but she seems to really like it!
